GEO Region,Price Category Code,Passenger Count
US,Other,10258
US,Other,22262
Asia,Other,9221
Asia,Other,12221
Europe,Other,5895
US,Other,4548
Asia,Other,4744
Mexico,Low Fare,3244
US,Other,64231
US,Other,49735
US,Low Fare,14254
US,Other,86214
US,Low Fare,31
Europe,Other,20433
Canada,Other,4253
Canada,Other,15799
Asia,Other,77872
US,Other,15322
Europe,Other,11966
Canada,Other,5702
Asia,Other,8229
US,Other,5054
Canada,Other,10633
US,Other,495
US,Low Fare,1670
US,Other,15173
US,Other,7746
Asia,Other,63156
Mexico,Other,5099
Mexico,Other,5197
US,Low Fare,48750
Asia,Other,13333
Europe,Other,5700
Canada,Other,4869
Australia / Oceania,Other,232
Europe,Other,6786
Europe,Other,21224
Mexico,Other,18470
US,Other,410420
Asia,Other,6559
Europe,Other,9926
Australia / Oceania,Other,258
US,Other,9244
Europe,Other,18665
US,Low Fare,26006
Europe,Other,10827
US,Low Fare,169344
Canada,Other,16730
US,Low Fare,5298
US,Other,11236
US,Other,136302
US,Other,13314
Canada,Other,7564
US,Low Fare,8219
Mexico,Other,8698
Europe,Other,12828
US,Low Fare,9609
Central America,Other,4626
US,Low Fare,54733
Asia,Other,6196
US,Low Fare,66372
US,Other,122260
US,Low Fare,42421
US,Other,6706
US,Other,1261
Europe,Other,6406
US,Low Fare,4653
Australia / Oceania,Other,6689
US,Other,29497
Europe,Other,5574
Asia,Other,8928
Asia,Other,11733
Mexico,Other,9642
US,Other,167699
US,Other,275
Asia,Other,14596
Mexico,Other,9779
Mexico,Other,6215
Europe,Other,7847
Europe,Other,6572
Canada,Other,3281
Europe,Other,21866
US,Other,3754
Canada,Other,4128
Central America,Other,6951
Central America,Other,3642
US,Other,141531
US,Other,143500
Asia,Other,8327
US,Other,205642
Mexico,Other,2517
Asia,Other,611
US,Other,1758
Central America,Other,10749
Middle East,Other,6407
Europe,Other,5605
Asia,Other,3886
Asia,Other,5485
US,Other,2902
Canada,Other,10974
Mexico,Other,7280
Asia,Other,6990
US,Other,308
Asia,Other,4200
Europe,Other,18727
US,Low Fare,152231
Europe,Other,18624
US,Other,102860
Canada,Other,53792
US,Other,6657
US,Other,86823
US,Low Fare,20256
US,Other,15763
Canada,Other,10424
US,Low Fare,131154
Europe,Other,10619
Europe,Other,7464
Europe,Other,9701
US,Other,41896
Mexico,Other,12097
Asia,Other,18302
Asia,Other,10351
Central America,Other,5872
US,Other,73025
US,Low Fare,1274
US,Low Fare,2964
US,Other,2859
US,Other,4072
US,Other,27144
US,Other,11865
Middle East,Other,5968
Europe,Other,16562
Mexico,Low Fare,3850
Asia,Other,100121
Canada,Other,310
US,Other,65347
Europe,Other,4228
Asia,Other,15470
US,Other,9761
US,Low Fare,18045
Europe,Other,11944
Canada,Other,1041
Europe,Other,10428
Asia,Other,11583
US,Other,47196
US,Other,157143
Australia / Oceania,Other,9474
US,Other,2867
Australia / Oceania,Other,3433
Mexico,Other,2893
Europe,Other,31163
US,Other,7
Canada,Other,16746
Europe,Other,19383
US,Other,3958
Asia,Other,13005
Australia / Oceania,Other,239
US,Other,127323
Middle East,Other,8886
Middle East,Other,5658
US,Other,15321
Asia,Other,5965
Canada,Other,6416
Asia,Other,59533
US,Other,2527
US,Other,113707
US,Other,285079
Europe,Other,19266
Asia,Other,5215
US,Other,446
US,Other,4409
US,Low Fare,70587
US,Other,64
US,Low Fare,13489
Canada,Other,1544
Asia,Other,10667
Asia,Other,10757
Mexico,Other,8885
Asia,Other,16182
Australia / Oceania,Other,5062
Asia,Other,22664
US,Low Fare,411
Mexico,Low Fare,5326
Europe,Other,4927
Asia,Other,6799
Asia,Other,11953
Canada,Other,15018
Asia,Other,8948
US,Other,17787
US,Other,121183
Mexico,Low Fare,2338
US,Other,5356
Europe,Other,7229
Europe,Other,6260
Europe,Other,6389
Australia / Oceania,Other,7927
Mexico,Other,12909
US,Other,6869
US,Other,7223
US,Low Fare,63866
US,Other,93
US,Low Fare,2759
US,Low Fare,18748
Mexico,Other,11327
US,Other,72422
Asia,Other,6003
US,Other,33478
US,Low Fare,19646
Australia / Oceania,Other,8536
Asia,Other,6480
US,Other,7456
Asia,Other,6508
Europe,Other,1487
Canada,Other,15004
US,Other,28887
US,Low Fare,1111
Canada,Other,7566
Europe,Other,6804
US,Low Fare,2008
Asia,Other,6677
Asia,Other,6638
Europe,Other,3500
Canada,Other,6617
US,Other,66429
Canada,Other,1285
US,Other,4101
US,Other,4821
Mexico,Other,27675
US,Other,52397
US,Other,9571
US,Other,5357
Mexico,Other,6865
US,Other,8129
Mexico,Other,230
Asia,Other,8172
Mexico,Other,5347
Mexico,Other,17332
US,Other,5789
Mexico,Other,17
Europe,Other,18079
US,Other,83556
Canada,Other,33364
Europe,Other,4360
US,Other,7098
Australia / Oceania,Other,2058
US,Other,3508
Asia,Other,21721
Asia,Other,6430
US,Other,128065
Mexico,Other,531
US,Other,35725
US,Other,54091
Mexico,Other,12186
Europe,Other,19983
Australia / Oceania,Other,915
US,Low Fare,7243
US,Low Fare,156435
Asia,Other,6340
US,Other,108411
Europe,Other,15059
US,Other,59252
Australia / Oceania,Other,9364
Canada,Other,8105
Europe,Other,20942
Mexico,Other,2976
Canada,Other,3542
US,Other,73466
Europe,Other,61340
US,Other,465405
Europe,Other,237
US,Low Fare,229
Europe,Other,2875
Asia,Other,10451
US,Low Fare,13270
Asia,Other,5214
Australia / Oceania,Other,2842
US,Other,105674
US,Other,31968
US,Other,45203
Mexico,Other,23072
US,Other,66642
US,Other,506882
US,Other,121336
Canada,Other,1250
Asia,Other,6476
US,Other,8814
Mexico,Other,262
Canada,Other,7843
Europe,Other,3706
Europe,Other,7207
US,Low Fare,198570
Europe,Other,19698
US,Other,1797
Middle East,Other,7005
US,Other,4721
US,Low Fare,108
Mexico,Other,269
Middle East,Other,2762
US,Other,38256
Asia,Other,16458
Asia,Other,4968
Asia,Other,7009
US,Other,3856
US,Other,5765
US,Other,109434
Asia,Other,9724
Asia,Other,16290
Asia,Other,4355
US,Other,59720
Asia,Other,7627
Asia,Other,4549
Mexico,Other,158
US,Other,4166
Asia,Other,4871
US,Other,299678
US,Low Fare,14712
Europe,Other,59870
Asia,Other,7986
US,Other,130393
Asia,Other,9496
Middle East,Other,10066
Australia / Oceania,Other,1328
Australia / Oceania,Other,11686
US,Low Fare,10421
US,Other,10564
US,Other,3
Europe,Other,16026
US,Other,16004
US,Low Fare,193
US,Low Fare,107353
Asia,Other,18551
Mexico,Low Fare,2022
Asia,Other,18000
US,Other,277766
US,Low Fare,3525
Europe,Other,6355
Asia,Other,9213
Canada,Other,8369
US,Low Fare,14297
Canada,Other,1278
Asia,Other,3969
South America,Other,3100
Europe,Other,14634
US,Other,26087
US,Low Fare,174356
Asia,Other,9195
Asia,Other,5819
Mexico,Other,8286
Asia,Other,19672
US,Other,34895
Asia,Other,4551
US,Other,6824
US,Low Fare,18864
Australia / Oceania,Other,4273
Asia,Other,7412
Europe,Other,29773
Australia / Oceania,Other,6450
US,Low Fare,16472
US,Other,86949
US,Other,3643
Asia,Other,48139
Asia,Other,3498
Europe,Other,11099
Europe,Other,10381
Canada,Other,18627
Canada,Other,16228
Asia,Other,10718
